Headline,Topic,Tags,Authors,Date,Content,Location
غرق سفينة شحن على متنها 14 شخصا قبالة سواحل اليونان (خفر السواحل),تنبيه,,أ ف ب,2023-11-26T09:12:16+0000,"غرق سفينة شحن على متنها 14 شخصا قبالة سواحل اليونان (خفر السواحل)
ستر-كان/كام/نور","اثينا, GRC"
روسيا تعلن اعتراض صاروخين أوكرانيين متّجهين نحو أراضيها فوق بحر آزوف,تنبيه,,أ ف ب,2023-11-26T09:20:43+0000,"روسيا تعلن اعتراض صاروخين أوكرانيين متّجهين نحو أراضيها فوق بحر آزوف
بور/كام/نور","موسكو, RUS"
غرق سفينة شحن على متنها 14 شخصا قبالة سواحل اليونان (خفر السواحل),اليونان/حادث,,أ ف ب,2023-11-26T09:23:48+0000,"أعلن خفر السواحل اليونانيون الأحد غرق سفينة شحن ترفع علم جزر القمر على متنها 14 شخصا قبالة سواحل جزيرة ليسبوس مع هبوب رياح قوية في المنطقة.
وتشارك في عملية الإنقاذ خمس سفن وثلاث سفن تابعة لخفر السواحل ومروحيات تابعة للقوات الجوية والبحرية وفرقاطة تابعة للبحرية.
ستر-كان/شي/كام","اثينا, GRC"
روسيا تعلن اعتراض صاروخين أوكرانيين متّجهين نحو أراضيها فوق بحر آزوف,روسيا/اوكرانيا/نزاع,,أ ف ب,2023-11-26T09:27:08+0000,"أعلنت روسيا الأحد اعتراض صاروخين أوكرانيين فوق بحر آزوف متجّهين نحو أراضيها، بعد ساعات من إعلانها إسقاط طائرات مسيّرة فوق ثلاث مناطق روسية.
وقالت وزارة الدفاع في بيان إن ""الدفاع الجوي الروسي رصد ودمّر صاروخين أوكرانيين في الأجواء فوق المياه في منطقة بحر آزوف"".
بور/كام/نور","موسكو, RUS"
كتائب القسام تعلن مقتل أربعة من قادتها العسكريين في قطاع غزة,تنبيه,,أ ف ب,2023-11-26T10:14:32+0000,"كتائب القسام تعلن مقتل أربعة من قادتها العسكريين في قطاع غزة 
ع ز-دلا/كام/نور","قطاع غزة, PSE"
مسؤول دفاعي أميركي يؤكد اعتراض ناقلة النفط المرتبطة باسرائيل في خليج عدن,تنبيه,,أ ف ب,2023-11-26T14:01:41+0000,"مسؤول دفاعي أميركي يؤكد اعتراض ناقلة النفط المرتبطة باسرائيل في خليج عدن
بور/نور/ب ق","دبي, ARE"
حكومة سيراليون تؤكد سيطرتها على الوضع بعد الهجوم على مخزن الأسلحة,تنبيه,,أ ف ب,2023-11-26T14:13:51+0000,"حكومة سيراليون تؤكد سيطرتها على الوضع بعد الهجوم على مخزن الأسلحة
سب-لال/نور/ب ق","فريتاون, SLE"
حماس تعلن أنها أفرجت عن رهينة روسية وسلمتها الى الصليب الأحمر,تنبيه,,أ ف ب,2023-11-26T14:41:54+0000,"حماس تعلن أنها أفرجت عن رهينة روسية وسلمتها الى الصليب الأحمر
ماب/رض ","غزة, PSE"
مصر تسلمت قائمتي الرهائن الاسرائيليين والسجناء الفلسطينيين الذين سيتم الافراج عنهم الأحد (رسمي),تنبيه,,أ ف ب,2023-11-26T14:46:53+0000,"مصر تسلمت قائمتي الرهائن الاسرائيليين والسجناء الفلسطينيين الذين سيتم الافراج عنهم الأحد (رسمي)
بور/منى/نور","القاهرة, EGY"
مطار دمشق خارج الخدمة مُجدداً جراء قصف إسرائيلي (المرصد),تنبيه,,أ ف ب,2023-11-26T14:47:29+0000,"مطار دمشق خارج الخدمة مُجدداً جراء قصف إسرائيلي (المرصد)
بور/نور","بيروت, LBN"
"نتانياهو في غزة ويقول لجنوده ""سنستمر حتى النهاية الى أن يتم تحقيق النصر""",تنبيه,,أ ف ب,2023-11-26T15:38:41+0000,"نتانياهو في غزة ويقول لجنوده ""سنستمر حتى النهاية الى أن يتم تحقيق النصر""
ماب/نور","غزة, PSE"
الجيش الاسرائيلي يؤكد ان 14 رهينة اسرائيلية و3 اجانب سلموا للصليب الاحمر في غزة,تنبيه,,أ ف ب,2023-11-26T15:43:56+0000,"الجيش الاسرائيلي يؤكد ان 14 رهينة اسرائيلية و3 اجانب سلموا للصليب الاحمر في غزة
ماب/نور","القدس, ZZZ"
قطر تعلن أن 39 فلسطينيا سيتم الإفراج عنهم الأحد من السجون الإسرائيلية,تنبيه,,أ ف ب,2023-11-26T16:19:57+0000,"قطر تعلن أن 39 فلسطينيا سيتم الإفراج عنهم الأحد من السجون الإسرائيلية
كسب/ب ق/ود","الدوحة, QAT"
الجيش الإسرائيلي يعلن وصول 13 رهينة الى اسرائيل وأربعة آخرون في طريقهم اليها,تنبيه,,أ ف ب,2023-11-26T16:43:52+0000,"الجيش الإسرائيلي يعلن وصول 13 رهينة الى اسرائيل وأربعة آخرون في طريقهم اليها
ماب/ب ق  ","القدس, ZZZ"
بايدن يعلن إفراج حماس عن طفلة أميركية في عامها الرابع,تنبيه,,أ ف ب,2023-11-26T17:04:41+0000,"بايدن يعلن إفراج حماس عن طفلة أميركية في عامها الرابع
كجك/ب ق/ود","واشنطن, USA"
"بايدن يأمل أن تستمر الهدنة في غزة الى ""ما بعد غد"" الإثنين",تنبيه,,أ ف ب,2023-11-26T17:06:43+0000,"بايدن يأمل أن تستمر الهدنة في غزة الى ""ما بعد غد"" الإثنين
شا/ب ق/ود","واشنطن, USA"
بايدن يعلن إفراج حماس عن طفلة أميركية في عامها الرابع,الولايات/المتحدة/اسرائيل/فلسطينيون/نزاع,,أ ف ب,2023-11-26T17:11:19+0000,"اعلن الرئيس جو بايدن أن حركة حماس افرجت الاحد عن رهينة أميركية هي طفلة في عامها الرابع اسمها أبيغايل.
وقال بايدن في كلمة من ولاية ماساشوستس ""إنها حرة وهي في اسرائيل"".
كجك/ب ق/ود","نانتوكت, USA"
"مصدر مقرب من حماس يؤكد موافقة الحركة على تمديد الهدنة ""بين يومين وأربعة أيام""",تنبيه,,أ ف ب,2023-11-26T17:33:55+0000,"مصدر مقرب من حماس يؤكد موافقة الحركة على تمديد الهدنة ""بين يومين وأربعة أيام"" 
ع ز/ماب/ب ق","غزة, PSE"
سلطة السجون الإسرائيلية تعلن الإفراج عن 39 سجينا فلسطينيا بموجب اتفاق الهدنة,تنبيه,,أ ف ب,2023-11-26T17:54:40+0000,"سلطة السجون الإسرائيلية تعلن الإفراج عن 39 سجينا فلسطينيا بموجب اتفاق الهدنة
ماب/ب ق","القدس, ZZZ"
موضوع إضافي متوقع الأحد 26 تشرين الثاني/نوفمبر 2023,توقعات,,أ ف ب,2023-11-26T20:05:05+0000,"اسرائيل/فلسطينيون/نزاع
قطاع غزة
- اعلنت كتائب عز الدين القسام، الجناح العسكري لحركة المقاومة الإسلامية (حماس) الأحد، مقتل خمسة من قادتها، بينهم ""قائد لواء الشمال""، خلال الهجوم الذي شنته إسرائيل على قطاع غزة ردا على عملية ""طوفان الأقصى"" في السابع من تشرين الأول/اكتوبر.
(زاوية)
تم بثه
اف ب/ب ق/ود","نيقوسيا, CYP"
"رئيس سيراليون يعلن اعتقال ""معظم"" المسؤولين عن المواجهات",تنبيه,,أ ف ب,2023-11-26T20:31:30+0000,"رئيس سيراليون يعلن اعتقال ""معظم"" المسؤولين عن المواجهات
سب-لال/ب ق/ود","فريتاون, SLE"
حكومة سيراليون تؤكد السيطرة على الوضع بعد يوم من المواجهات,سيراليون/جيش,,أ ف ب,2023-11-26T21:36:36+0000,"أكد رئيس سيراليون جوليوس مادا بيو مساء الأحد ""عودة الهدوء"" بعد يوم من مواجهات مسلّحة في العاصمة فريتاون، معلنا اعتقال ""معظم"" المسؤولين عمّا قال إنها محاولة لزعزعة استقرار الدولة.
وأعلن بيو في مداخلة مقتضبة عبر التلفزيون الرسمي ""عودة الهدوء"" بعد ""محاولة هدفت الى تقويض السلام والاستقرار اللذين نقوم بعمل شاق"" لتحقيقهما.
وكانت حكومة سيراليون قد أكدت الاحد السيطرة التامة على الوضع بعد يوم من المواجهات المسلحة في العاصمة فريتاون، حيث حاول مهاجمون مجهولون السيطرة على مستودع أسلحة للجيش واخرجوا العديد من المعتقلين من احد السجون.
وفرضت السلطات حظرا للتجول في مختلف انحاء البلاد حتى اشعار آخر.
وقال بيو ""تم اعتقال معظم القادة"" وستتم محاسبتهم، من دون إعطاء مزيد من التفاصيل.
وكان وزير الإعلام شيرنور باه قد أفاد وكالة فرانس برس الأحد بأن ""الوضع الأمني في فريتاون تحت السيطرة التامة للحكومة"".
ويسود المدينة هدوء نسبي، بحسب مراسل وكالة فرانس برس، فيما استمرت نقاط تفتيش أقامها عدد كبير من عناصر الأمن.
ولم يتم الإعلان عن أي حصيلة رسمية لضحايا أعمال العنف.
على شبكات التواصل الاجتماعي تم تداول مقاطع فيديو تظهر على ما يبدو موقوفين بداخل آلية عسكرية أو بالقرب منها.
وبحسب حسابات على شبكات التواصل الاجتماعي، بين المشاركين في العملية الذين سقطوا على يد قوات الأمن مقرّب من الرئيس السابق إرنست باي كوروما (2007-2018).***
وطلبت هيئة الطيران المدني من شركات الطيران إعادة جدولة رحلاتها بعد رفع حظر التجول، مؤكدة أن المجال الجوي لا يزال مفتوحًا.
طبيعة الأحداث تحيي طيف محاولات انقلاب شهدتها الدولة الإفريقية منذ العام 2020.
وشهدت منطقة غرب إفريقيا منذ آب/أغسطس 2020 سلسلة من الانقلابات العسكرية ومحاولات الانقلاب لا سيما في مالي وبوركينا فاسو والنيجر وغينيا المجاورة لسيراليون.
وشهدت سيراليون أزمة سياسية حادة في أعقاب انتخابات رئاسية وعامة في حزيران/يونيو 2023.
وتحدثت الجماعة الاقتصادية لدول غرب افريقيا (اكواس) في بيان عن محاولة الاستيلاء على الأسلحة وعن ""الاخلال بالسلام والنظام الدستوري""، وعادة ما يتم استخدام هذه العبارة للدلالة على الانقلاب.
من جهتها، أعربت البعثة الأوروبية في سيراليون عن ""قلقها"" إزاء الهجوم، داعية إلى ""احترام النظام الدستوري"". 
وأفاد شهود لمراسل وكالة فرانس برس عن سماع أصوات إطلاق نار وانفجارات في حي ويلبرفوس حيث يقع المخزن. وأشار آخرون الى تبادل للنيران قرب ثكنة موراي تاون حيث مقر سلاح البحرية وأمام منشأة عسكرية أخرى في العاصمة.
وقالت الشاهدة سوزان كارغبو لوكالة فرانس برس عبر الهاتف ""استيقظت حوالى الساعة 4,30 صباحا (بالتوقيت المحلي وغرينتش) على صوت دوي أسلحة رشاشة وانفجارات من صوب ثكنات ويلبرفورس"".
وأضافت ""كنت في حالة من الصدمة والذعر (...) كان الأمر كما في زمن الحرب. لم أستطع الذهاب إلى الكنيسة بسبب حظر التجول"".
وقالت وزارة الإعلام ""في الساعات الأولى من الأحد (...) حاول مجهولون اقتحام مستودع الأسلحة العسكري في ثكنة ويلبرفورس. وتم صدهم جميعا"".
تعد ويلبرفورس إحدى الثكنات الرئيسية في البلاد. ويضم الحي أيضا سفارات.
وأضاف البيان ""ننصح بشدة مواطنينا بالبقاء في منازلهم""، وهي دعوة كررها الاتحاد الأوروبي وبعثة المملكة المتحدة في سيراليون.
وأظهرت لقطات جوية لوكالة فرانس برس شوارع مقفرة.
ووردت أنباء عن وقوع اشتباكات قرب ثكنة موراي تاون حيث تتمركز البحرية، وفي نقاط أخرى بالعاصمة.
وأظهرت مقاطع فيديو تم تداولها على مواقع التواصل الاجتماعي هروب العديد من المعتقلين من السجن المركزي، في ظروف لم تتضح بعد.
وأشار رجل كان ضمن مجموعة قام مراسل وكالة فرانس برس بتصويرها في الشارع، إلى أنه والآخرين كانوا بالفعل معتقلين وهربوا.
وأقرّت الحكومة بأن المهاجمين تفوقوا على الحراس وفضلوا تنفيذ ""انسحاب تكتيكي"".
ونفت شائعة انتشرت في المدينة مفادها أن الهجوم يهدف إلى محاولة السيطرة على التلفزيون الرسمي، وهو من تقاليد الانقلابات.
ونشر التلفزيون الرسمي بيان الحكومة، مؤكدًا أن الوضع تحت السيطرة، ولاحقا المداخلة المقتضبة للرئيس.
وقالت السفارة الأميركية عبر وسائل التواصل الاجتماعي ""ندين بأشد العبارات محاولة الاستيلاء القسري ليلاً على ثكنات ومستودع الأسلحة في ويلبرفورس"".
وأضافت ""تواصل الولايات المتحدة دعم كل أولئك الذين يعملون من أجل سيراليون تنعم بالسلام والديموقراطية والسلامة والرخاء"".
كما أعربت الجماعة الاقتصادية لدول غرب افريقيا عن دعمها للحكومة القائمة، داعية إلى توقيف المسؤولين عن الحادثة. 
وأعيد انتخاب جوليوس مادا بيو، الذي انتخب للمرة الاولى في 2018، رئيسا للبلاد في حزيران/يونيو من الدورة الأولى بحصوله على 56,17% من الأصوات بحسب النتائج التي نشرتها اللجنة الانتخابية.
لكن المراقبين الأجانب نددوا بالعملية الانتخابية مشيرين الى نقص في الشفافية وكذلك بأعمال عنف وترهيب.
سب-لال/نور-كام-ريم-كبج-ود/سام","فريتاون, SLE"
Headline or alternative text not found in the file.,من الدنيا,,afp.com,2023-11-26T13:49:39+0000,,
"بوب ديلان شعر ب""الإعياء"" لدى مشاهدته فيديو مقتل جورج فلويد",USA-musique-célébrités-racisme-troubles,"arabic, journal, minaldounia",فريد تانو,2020-06-13T09:12:00+0000,"قال الفنان بوب ديلان في مقابلة نادرة نشرتها صحيفة ""نيويورك تايمز"" إنه شعر ب""الإعياء"" لدى مشاهدته فيديو مقتل جورج فلويد اختناقا عندما ضغط شرطي أبيض على عنقه في 25 أيا/مايو في ولاية مينيسوتا مسقط رأسه.
وأوضح ""شعرت بالإعياء الشديد لرؤية جورج يعذب حتى الموت بهذه الطريقة"" وقد توفي فلويد بعدما ضغط الشرطي على عنقه مدة تسع دقائق خلال توقيفه.
وأضاف ديلان (79 عاما) الذي ولد في مينيسوتا وارتاد جامعة مينيابوليس ""هذا أمر يتجاوز الفظاعة. آمل ان تحصل عائلة فلويد والأمة على العدالة فورا"".
وأتى كلام ديلان لصحيفة ""نيويورك تايمز"" غداة مقتل فلويد الذي تسبب بتظاهرات واسعة مناهضة للعنصرية وعنف الشرطة في البلاد وخارجها. وكانت هذه المقابلة الوحيدة للفنان خارج موقعه الإلكتروني الخاص منذ فوزه بجائزة نوبل للآداب في 2016.
وتناولت الكثير من أغاني ديلان الشهيرة في الستينات والسبعينات عنف الشرطة والعنصرية ومنها ""هريكاين"" و""جورج جاكسون"".
ويصدر ديلان أول ألبوم له يضم أغاني جديدة في غضون ثماني سنوات، الجمعة المقبل بعنوان ""راف أند راودي دايز"".
وتحدث ديلان في المقابلة من منزله في ماليبو في ولاية كاليفونريا (غرب الولايات المتحدة) معربا عن تشاؤمه حول مستقبل العالم وعواقب جائحة كوفيد-19.
وقال إن فيروس كورونا المستجد يشكل ""اجتياحا"" و""تمهيدا لشيء آخر سيحصل"". واضاف ""قد نكون أشرفنا على الدمار. ثمة طرق عدة للتفكير بهذا الفيروس. أظن أن علينا أن ندعه ينهي مساره"".
وفي نهاية آذار/مارس، أصدر ديلان بعيد فرض العزل في كاليفورنيا أغنية ""موردر موست فاول"" أول أغنية جديدة له منذ 2012. وتمتد الأغنية على 17 دقيقة وتتناول اغتيال جون كينيدي. وقد احتلت المرتبة الأولى في تصنيف ""بيلبورد"".
وقبل الجائحة كان بوب ديلان يقدم حفلات منتظمة. وكان من المقرر أن يحيي سلسلة من الحفلات في نيسان/أبريل في اليابان وفي حزيران/يونيو في الولايات المتحدة وقد ألغيت جميعها.
بوب ديلان في 22 تموز/يوليو 2012 في منطقة بريتانييه الفرنسية","نيويورك, USA"
مطاعم فرنسية كبرى ستدعو أفرادا من الطواقم الطبية إلى تناول الطعام,فرنسا-مطاعم-وباء-خدمة دنيا,"arabic, journal, minaldounia",جان-كريستوف مانينيه,2020-06-13T10:25:10+0000,"سيستضيف نحو ثلاثين طاهيا فرنسيا كبيرا من بينهم يانيك ألينو وغي سافوا وجورج بلان الحاصلين على 3 نجوم من دليل ميشلان، في مطاعمهم أفرادا من الطواقم الصحية في إطار مبادرة تهدف إلى عدم نسيان ما قاموا به خلال جائحة كوفيد-19.
وأطلقت المبادرة بدعم من دليل ""ميشلان"" ومجموعة ""لوي فويتون"" للمنتجات الفاخرة، وستستمر حتى نهاية السنة.
واوضحت الفكاهية آن رومانوف المشرفة على جمعية ""التضامن مع الممرضين"" التي ستشرف على هذه العملية لوكالة فرانس برس أن 500 طاولة باتت جاهزة من الآن ""وقد أرسل مئة من افراد طواقم الرعاية الطبية رسائل الكترونية في غضون ساعة للاستفادة"" من المبادرة.
وقال أرنو دونكيل الذي اختير أفضل طاه في 2020 من قبل دليل ""غو إي ميو"" والحائز 3 نجوم من دليل ""ميشلان""، إن الفكرة تهدف إلى ""شكر أفراد طواقم الرعاية الصحية"".
ويشارك في هذه المبادرة نحو 30 طاهيا كبيرا من كل أرجاء فرنسا.
وأضاف دونكيل ""يميل الناس إلى نسيان ما أنجز سريعا، حصلت انجازات استثنائية وبرز أشخاص استثنائيون، علينا أن نحضر المرحلة المقبلة حتى لا ننساهم"".
وسيقدم اعتبارا من نهاية حزيران/يونيو لهؤلاء، مقبلات مؤلفة من 27 نوعا من الخضار من منتجين محليين وطبق سمك ولحم الحمل وتحلية ومشروب بقيمة 210 يورو.
الطاهي الفرنسي أرنو دونكيل في صورة ملتقطة في 12 نيسان/أبريل 2013 في مطعمه في سان تروبيه في جنوب فرنسا","باريس, FRA"
